280,Cnemidophorus vanzoi,Maria Island ground lizard,6
281,Coccyzus americanus,Yellow-billed Cuckoo,1
282,Colinus virginianus ridgwayi,Masked bobwhite (quail),1
283,Colobus satanas,Black colobus monkey,3
284,Columba inornata wetmorei,Puerto Rican plain Pigeon,1
285,Columba junoniae,White-tailed laurel Pigeon,1
286,Columba mayeri,Pink pigeon,1
287,Columba palumbus azorica,Azores wood pigeon,1
288,Conolophus pallidus,Barrington land iguana,6
289,Conraua goliath,Goliath Frog,9
290,Copsychus niger cebuensis,Cebu black shama (thrush),1
291,Copsychus sechellarum,Seychelles magpie-robin (thrush),1
292,Coquus newtoni,Reunion cuckoo-shrike,1
293,Coquus typicus,Mauritius cuckoo-shrike,1
294,Coracopsis nigra barklyi,Seychelles lesser vasa parrot,1
295,Coreobagrus ichikawai,Nekogigi (catfish),0
296,Corvus hawaiiensis,Hawaiian (='alala) Crow,1
297,Corvus kubaryi,Mariana (=aga) Crow,1
298,Corvus leucognaphalus,White-necked crow,1
299,Corynorhinus (=Plecotus) townsendii ingens,Ozark big-eared bat,3
300,Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,3
301,Cotinga maculata,Banded cotinga,1
302,Cottus paulus (=pygmaeus),Pygmy Sculpin,0
303,Cottus specus,Grotto Sculpin,0
304,Craseonycteris thonglongyai,Bumblebee bat,3
305,Crax alberti,Blue-billed curassow,1
306,Crax blumenbachii,Red-billed curassow,1
307,Crenichthys baileyi baileyi,White River springfish,0
308,Crenichthys baileyi grandis,Hiko White River springfish,0
309,Crenichthys nevadae,Railroad Valley springfish,0
310,Crocodylus acutus,American crocodile,6
311,Crocodylus cataphractus,African slender-snouted crocodile,6
312,Crocodylus intermedius,Orinoco crocodile,6
313,Crocodylus niloticus,Nile crocodile,6
314,Crocodylus novaeguineae mindorensis,Philippine crocodile,6
315,Crocodylus palustris kimbula,Ceylon mugger crocodile,6
316,Crocodylus palustris palustris,Mugger crocodile,6
317,Crocodylus porosus,Saltwater crocodile,6
318,Crocodylus rhombifer,Cuban crocodile,6
319,Crocodylus siamensis,Siamese crocodile,6
320,Crossoptilon crossoptilon,White eared pheasant,1
321,Crossoptilon mantchuricum,Brown eared pheasant,1
322,Crotalus unicolor,Aruba Island rattlesnake,6
323,Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,6
324,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,9
325,Crystallaria cincotta,diamond Darter,0
326,Cumberlandia monodonta,Spectaclecase (mussel),7
327,Cuon alpinus,Dhole,3
328,Cyanopsitta spixii,Little blue macaw,1
329,Cyanoramphus auriceps forbesi,Forbes' parakeet,1
330,Cyanoramphus cookii (=novaezelandiae c.),Norfolk Island parakeet,1
331,Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,8
332,Cyclargus ammon,Nickerbean Blue Butterfly,8
333,Cyclura carinata bartschi,Mayaguana iguana,6
334,Cyclura carinata carinata,Turks and Caicos iguana,6
335,Cyclura collei,Jamaican iguana,6
336,Cyclura cychlura cychlura,Andros Island ground iguana,6
337,Cyclura cychlura figginsi,Exuma Island iguana,6
338,Cyclura cychlura inornata,Allen's Cay iguana,6
339,Cyclura lewisi,Grand Cayman ground iguana,6
340,Cyclura nubila caymanensis,Cayman Brac ground iguana,6
341,Cyclura nubila nubila,Cuban ground iguana,6
342,Cyclura pinguis,Anegada ground iguana,6
343,Cyclura rileyi cristata,White Cay ground iguana,6
344,Cyclura rileyi nuchalis,Acklins ground iguana,6
345,Cyclura rileyi rileyi,Watling Island ground iguana,6
346,Cyclura stejnegeri,Mona ground Iguana,6
347,Cynomys mexicanus,Mexican prairie dog,3
348,Cynomys parvidens,Utah prairie dog,3
349,Cynoscion macdonaldi,Totoaba (seatrout or weakfish),0
350,Cyprinella caerulea,Blue shiner,0
351,Cyprinella formosa,Beautiful shiner,0
352,Cyprinodon bovinus,Leon Springs pupfish,0
353,Cyprinodon diabolis,Devils Hole pupfish,0
354,Cyprinodon elegans,Comanche Springs pupfish,0
355,Cyprinodon macularius,Desert pupfish,0
356,Cyprinodon nevadensis mionectes,Ash Meadows Amargosa pupfish,0
357,Cyprinodon nevadensis pectoralis,Warm Springs pupfish,0
358,Cyprinodon radiosus,Owens pupfish,0
359,Cyprogenia stegaria,Fanshell,7
360,Cyrtodactylus serpensinsula,Serpent Island gecko,6
361,Cyrtonaias tampicoensis tecomatensis,Tampico pearlymussel,7
362,Cyrtonyx montezumae merriami,Merriam's Montezuma quail,1
363,Dama mesopotamica (=dama m.),Persian fallow deer,3
364,Damaliscus pygarus (=dorcas) dorcas,Bontebok,3
365,Dasyornis broadbenti littoralis,Western rufous bristlebird,1
366,Dasyornis longirostris (=brachypterus I.),Western bristlebird,1
367,Dasyurus viverrinus,Eastern native-cat,3
368,Daubentonia madagascariensis,Aye-aye,3
369,Delphinapterus leucas,beluga whale,3
370,Deltistes luxatus,Lost River sucker,0
371,Dendrogyra cylindrus,Pillar Coral,4
372,Dendroica chrysoparia,Golden-cheeked warbler (=wood),1
